occscheme,occtype,occ_desc,occ_array,occ_array_cleansed
ATC,25,Education,"Day-care centers nursery schools, Elementary and secondary schools, Other educational services (see note below for exceptions), Note: For universities and colleges RMS recommends using ATC 54., bleacher press,cafeteria band,cafeteria east,classrooms gym,east bleachers,elementary gym,fencing lights,field baseball,fitness center,football field,football press,gymnasium bldg,health science,high classroom,home bleachers,home economics,lane synthetic,livestock barn,music building,residence hall,school storage,shed enclosure,softball field,stadium lights,stand restroom,student center,transportation,visitor ticket,artificial turf,baseball dugout,baseball lights,bleachers press,building leased,building vacant,building weight,bus maintenance,cain elementary,campus portable,covered walkway,dugouts fencing,early childhood,elementary main,field bleachers,football lights,football ticket,high classrooms,holloway middle,home concession,horse enclosure,leon elementary,main elementary,school addition,school building,synthetic track,technology bldg,vocational bldg,agriculture barn,animal enclosure,athletic storage,baseball batting,baseball dugouts,baseball storage,baseball visitor,brown elementary,concession press,concession stand,distant learning,field concession,football stadium,football storage,football visitor,home concessions,maintenance bldg,maintenance shop,outdoor property,playground equip,science building,stadium entrance,storage building,agricultural bldg,athletic building,athletic training,baseball bleacher,baseball pavilion,baseball pressbox,baseball softball,bleachers pressbx,classrooms office,elementary campus,elementary school,football visitors,grounds warehouse,land improvements,office classrooms,original building,portable building,restroom building,school classrooms,school elementary,school vocational,storage pavillion,technology center,visitor bleachers,baseball bleachers,bleacher pavillion,bleachers pressbox,classroom building,cosmetology center,education building,electronic marquee,football bleachers,administration,offices classrooms,softball bleachers,visitor concession,visitors bleachers,administration bldg,baseball concession,baseball scoreboard,cafeteria gymnasium,concession building,concession dressing,concession restroom,elementary building,football concession,football scoreboard,intermediate school,maintenance storage,portable classrooms,agriculture building,baseball concessions,cafeteria classrooms,concessions building,elementary cafeteria,elementary classroom,maintenance building,visitors concessions,alternative education,intermediate building,kindergarten building,industrial maintenance,maintenance technology,administration building,vocational agricultural,baseball,ornelas dorm,school annex,school field,stadium home,storage bldg,storage shed,ticket booth,yard storage,baseball home,batting cages,bb concession,cafeteria gym,campus safety,concession rr,dressing room,elem portable,elementary pe,fb concession,fb scoreboard,fences lights,field storage,football home,grade classes,hartley field,horticultural,hs classrooms,hs concession,hs vocational,jh classrooms,main building,mens restroom,metal storage,middle school,multi purpose,base,vocational,ag building,ag facility,agriculture,alternative,base dugout,bus storage,cattle barn,day nursery,elem school,elementrary,field house,grain tanks,guard shack,gussie nell,high middle,high school,home ticket,house built,hs portable,hs pressbox,junior high,kilgore isd,life skills,main school,maintenance,monahans hs,addition,anderson,athletic,bleacher,building,bus barn,bus shop,bus yard,cardinal,coliseum,computer,district,dressing,dwelling,east gym,eastside,facility,fb field,football,gas pump,gym band,high gym,hog barn,holloway,hs field,lighting,longview,marshall,monahans,ms field,tyler,training,arts bldg,auxillary,band hall,bb lights,bleachers,cafeteria,cain park,childhood,classroom,community,cullender,ed campus,elem main,enclosure,equipment,fb lights,fine arts,golf cart,gymnasium,headstart,pump pavilion,school weight,tennis courts,ticket booths,alternative ed,annex building,athletic field,auto mechanics,barn bleachers,baseball field,office,school,towers,vacant,voc ag,ag barn,ag farm,ag shop,barn ag,batting,central,charles,classes,complex,concess,covered,de leon,douglas,dougout,dug,track,units,ag pen,alt ed,animal,arnold,campus,canopy,career,center,chisum,clocks,courts,dugout,gazebo,grades,health,junior,leased,lights,middle,mobile,museum,weight room,barn storage,batting cage,building gym,bus building,bus pavilion,cart storage,computer lab,kilgore,hs bleachers,improvements,intermediate,iss building,lab building,leased space,lights poles,locker rooms,media center,gym,ornelas,outdoor,pressbx,primary,science,shelter,spec ed,stadium,storage,visitor,walkway,women,cafetorium,classrooms,concession,electronic,elementary,fb storage,fb visitor,field home,fieldhouse,dugouts,fb home,fencing,freezer,grounds,higgins,hs band,hs main,jr high,library,gym,dorm,elem,fine,hall,high,math,child,class,early,girls,jr hs,music,north,poles,pre,ed classroom,elem storage,fb restrooms,field lights,field ticket,flood lights,restroom,school gym,scoreboard,stand bldg,technology,field,pavillion,press box,pumphouse,restrooms,school ag,stand,warehouse,ag storage,annex bldg,artificial,auditorium,pat hartley,repair shop,school main,school sign,original,pavilion,pressbox,softball,grade wing,head start,home press,homemaking,industrial,link fence,nell davis,livestock,machinery,main bldg,main high,mechanics,baseball press,high main,hs dugout,nursery,offices","Daycare centers nursery schools, Elementary and secondary schools, Other educational services (see note below for exceptions), Note: For universities and colleges RMS recommends using ATC , bleacher press,cafeteria band,cafeteria east,classrooms gym,east bleachers,elementary gym,fencing lights,field baseball,fitness center,football field,football press,gymnasium bldg,health science,high classroom,home bleachers,home economics,lane synthetic,livestock barn,music building,residence hall,school storage,shed enclosure,softball field,stadium lights,stand restroom,student center,transportation,visitor ticket,artificial turf,baseball dugout,baseball lights,bleachers press,building leased,building vacant,building weight,bus maintenance,cain elementary,campus portable,covered walkway,dugouts fencing,early childhood,elementary main,field bleachers,football lights,football ticket,high classrooms,holloway middle,home concession,horse enclosure,leon elementary,main elementary,school addition,school building,synthetic track,technology bldg,vocational bldg,agriculture barn,animal enclosure,athletic storage,baseball batting,baseball dugouts,baseball storage,baseball visitor,brown elementary,concession press,concession stand,distant learning,field concession,football stadium,football storage,football visitor,home concessions,maintenance bldg,maintenance shop,outdoor property,playground equip,science building,stadium entrance,storage building,agricultural bldg,athletic building,athletic training,baseball bleacher,baseball pavilion,baseball pressbox,baseball softball,bleachers pressbx,classrooms office,elementary campus,elementary school,football visitors,grounds warehouse,land improvements,office classrooms,original building,portable building,restroom building,school classrooms,school elementary,school vocational,storage pavillion,technology center,visitor bleachers,baseball bleachers,bleacher pavillion,bleachers pressbox,classroom building,cosmetology center,education building,electronic marquee,football bleachers,administration,offices classrooms,softball bleachers,visitor concession,visitors bleachers,administration bldg,baseball concession,baseball scoreboard,cafeteria gymnasium,concession building,concession dressing,concession restroom,elementary building,football concession,football scoreboard,intermediate school,maintenance storage,portable classrooms,agriculture building,baseball concessions,cafeteria classrooms,concessions building,elementary cafeteria,elementary classroom,maintenance building,visitors concessions,alternative education,intermediate building,kindergarten building,industrial maintenance,maintenance technology,administration building,vocational agricultural,baseball,ornelas dorm,school annex,school field,stadium home,storage bldg,storage shed,ticket booth,yard storage,baseball home,batting cages,bb concession,cafeteria gym,campus safety,concession rr,dressing room,elem portable,elementary pe,fb concession,fb scoreboard,fences lights,field storage,football home,grade classes,hartley field,horticultural,hs classrooms,hs concession,hs vocational,jh classrooms,main building,mens restroom,metal storage,middle school,multi purpose,base,vocational,ag building,ag facility,agriculture,alternative,base dugout,bus storage,cattle barn,day nursery,elem school,elementrary,field house,grain tanks,guard shack,gussie nell,high middle,high school,home ticket,house built,hs portable,hs pressbox,junior high,kilgore isd,life skills,main school,maintenance,monahans hs,addition,anderson,athletic,bleacher,building,bus barn,bus shop,bus yard,cardinal,coliseum,computer,district,dressing,dwelling,east gym,eastside,facility,fb field,football,gas pump,gym band,high gym,hog barn,holloway,hs field,lighting,longview,marshall,monahans,ms field,tyler,training,arts bldg,auxillary,band hall,bb lights,bleachers,cafeteria,cain park,childhood,classroom,community,cullender,ed campus,elem main,enclosure,equipment,fb lights,fine arts,golf cart,gymnasium,headstart,pump pavilion,school weight,tennis courts,ticket booths,alternative ed,annex building,athletic field,auto mechanics,barn bleachers,baseball field,office,school,towers,vacant,voc ag,ag barn,ag farm,ag shop,barn ag,batting,central,charles,classes,complex,concess,covered,de leon,douglas,dougout,dug,track,units,ag pen,alt ed,animal,arnold,campus,canopy,career,center,chisum,clocks,courts,dugout,gazebo,grades,health,junior,leased,lights,middle,mobile,museum,weight room,barn storage,batting cage,building gym,bus building,bus pavilion,cart storage,computer lab,kilgore,hs bleachers,improvements,intermediate,iss building,lab building,leased space,lights poles,locker rooms,media center,gym,ornelas,outdoor,pressbx,primary,science,shelter,spec ed,stadium,storage,visitor,walkway,women,cafetorium,classrooms,concession,electronic,elementary,fb storage,fb visitor,field home,fieldhouse,dugouts,fb home,fencing,freezer,grounds,higgins,hs band,hs main,jr high,library,gym,dorm,elem,fine,hall,high,math,child,class,early,girls,jr hs,music,north,poles,pre,ed classroom,elem storage,fb restrooms,field lights,field ticket,flood lights,restroom,school gym,scoreboard,stand bldg,technology,field,pavillion,press box,pumphouse,restrooms,school ag,stand,warehouse,ag storage,annex bldg,artificial,auditorium,pat hartley,repair shop,school main,school sign,original,pavilion,pressbox,softball,grade wing,head start,home press,homemaking,industrial,link fence,nell davis,livestock,machinery,main bldg,main high,mechanics,baseball press,high main,hs dugout,nursery,offices"
ATC,26,Highway,"Local inter-urban passenger transit, Motor freight transport and warehousing, Freight forwarders and other transportation services, ","Local interurban passenger transit, Motor freight transport and warehousing, Freight forwarders and other transportation services, "
ATC,27,Railroad,"Railroads and related services, ","Railroads and related services, "
ATC,28,Air,"Airport, Air transportation, Freight forwarders and other transportation services, Airplane Hnagar,Hanger,company aircraft,offices","Airport, Air transportation, Freight forwarders and other transportation services, Airplane Hnagar,Hanger,company aircraft,offices"
ATC,29,Sea/Water,"Port Authority, Water transportation, Freight forwarders and other transportation services, Covered Slips East,Covered Slips Middle,Covered Slips West","Port Authority, Water transportation, Freight forwarders and other transportation services, Covered Slips East,Covered Slips Middle,Covered Slips West"
ATC,30,Electrical,"Electrical services, Soy - Eagle Grove, IA - Energy Center","Electrical services, Soy  Eagle Grove, IA  Energy Center"
ATC,31,Water,"Water supply, Pumping stations, Purification plants, Storage facilities tanks, amenities,Logwood water system,Malcolm Heights water system,McQuarrie water system,Office Furniture  Equipment,Office Furniture  Equipment, Fixtures, AC Units, Standby Generators,,Bachelors Hall water system,Building,Buildings,Contents,Esher water system,Furniture  Equipment,Green Island water system,Housing machinery  equipment,Office Furniture, Equipment, Fixtures, Computers,,Pell River water system,Pump House,Reservoir,Sandy Bay water system,Seaview water system,Spring Source,Spring Sources,Treatment Plant,Treatment Filter Plant,Treatment Filter Plants,Water Related Buildings,Water Tank,Water Tank (773,000 Gallons),Water Tank Building,Water Tanks,Source,Sources","Water supply, Pumping stations, Purification plants, Storage facilities tanks, amenities,Logwood water system,Malcolm Heights water system,McQuarrie water system,Office Furniture  Equipment,Office Furniture  Equipment, Fixtures, AC Units, Standby Generators,Bachelors Hall water system,Building,Buildings,Contents,Esher water system,Furniture  Equipment,Green Island water system,Housing machinery  equipment,Office Furniture, Equipment, Fixtures, Computers,Pell River water system,Pump House,Reservoir,Sandy Bay water system,Seaview water system,Spring Source,Spring Sources,Treatment Plant,Treatment Filter Plant,Treatment Filter Plants,Water Related Buildings,Water Tank,Water Tank (, Gallons),Water Tank Building,Water Tanks,Source,Sources"
ATC,32,Sanitary Sewer,"Sewerage systems, Sanitary services steam and irrigation systems, Sewage Equip Bldg,Waste Water Treatment Plant","Sewerage systems, Sanitary services steam and irrigation systems, Sewage Equip Bldg,Waste Water Treatment Plant"
ATC,33,Natural Gas,"Gas production and distribution, ","Gas production and distribution, "
ATC,34,Telephone & Telegraph,"Communications except radio and TV, ","Communications except radio and TV, "
ATC,35,Communication (Radio and TV),"Radio and TV broadcasting, ","Radio and TV broadcasting, "
ATC,36,Flood Control,"Electrical services and utilities, Water supply and sewerage systems, Other federal state and local government enterprises, ","Electrical services and utilities, Water supply and sewerage systems, Other federal state and local government enterprises, "
